artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",nicki+minaj,nickiminaj,1,Only,only,only,2015
Sia,sia,sia,0,Elastic Heart,elastic+heart,elasticheart,2015
Demi Lovato,demi+lovato,demilovato,0,Cool For The Summer,cool+for+the+summer,coolforthesummer,2015
X Ambassadors,x+ambassadors,xambassadors,0,Renegades,renegades,renegades,2015
Usher Featuring Juicy J,usher,usher,1,I Don't Mind,i+don't+mind,idon'tmind,2015
Ariana Grande & The Weeknd,ariana+grande,arianagrande,1,Love Me Harder,love+me+harder,lovemeharder,2015
Taylor Swift,taylor+swift,taylorswift,0,Wildest Dreams,wildest+dreams,wildestdreams,2015
Sam Smith,sam+smith,samsmith,0,Stay With Me,stay+with+me,staywithme,2015
DJ Snake & AlunaGeorge,dj+snake,djsnake,1,You Know You Like It,you+know+you+like+it,youknowyoulikeit,2015
Fall Out Boy,fall+out+boy,falloutboy,0,Uma Thurman,uma+thurman,umathurman,2015
Beyonce,beyonce,beyonce,0,7/11,7/11,7/11,2015
Selena Gomez,selena+gomez,selenagomez,0,The Heart Wants What It Wants,the+heart+wants+what+it+wants,theheartwantswhatitwants,2015
Little Big Town,little+big+town,littlebigtown,0,Girl Crush,girl+crush,girlcrush,2015
Trey Songz,trey+songz,treysongz,0,Slow Motion,slow+motion,slowmotion,2015
One Direction,one+direction,onedirection,0,Drag Me Down,drag+me+down,dragmedown,2015
Nicki Minaj Featuring Drake & Lil Wayne,nicki+minaj,nickiminaj,1,Truffle Butter,truffle+butter,trufflebutter,2015
Ariana Grande,ariana+grande,arianagrande,0,One Last Time,one+last+time,onelasttime,2015
Nick Jonas,nick+jonas,nickjonas,0,Chains,chains,chains,2015
Meek Mill Featuring Chris Brown & Nicki Minaj,meek+mill,meekmill,1,All Eyes On You,all+eyes+on+you,alleyesonyou,2015
Rae Sremmurd,rae+sremmurd,raesremmurd,0,No Type,no+type,notype,2015
Vance Joy,vance+joy,vancejoy,0,Riptide,riptide,riptide,2015
Jidenna Featuring Roman GianArthur,jidenna,jidenna,1,Classic Man,classic+man,classicman,2015
Elle King,elle+king,elleking,0,Ex's & Oh's,ex's+&+oh's,ex's&oh's,2015
Meghan Trainor,meghan+trainor,meghantrainor,0,Dear Future Husband,dear+future+husband,dearfuturehusband,2015
Charlie Puth Featuring Meghan Trainor,charlie+puth,charlieputh,1,Marvin Gaye,marvin+gaye,marvingaye,2015
Meghan Trainor Featuring John Legend,meghan+trainor,meghantrainor,1,Like I'm Gonna Lose You,like+i'm+gonna+lose+you,likei'mgonnaloseyou,2015
Tove Lo,tove+lo,tovelo,0,Habits (Stay High),habits+(stay+high),habits(stayhigh),2015
